100011110	10011111110000100
100011111	10100000111000001
100100000	10100010000000000
100100001	10100011001000001
100100010	10100100010000100
100100011	10100101011001001
100100100	10100110100010000
100100101	10100111101011001
100100110	10101000110100100
100100111	10101001111110001
100101000	10101011001000000
100101001	10101100010010001
100101010	10101101011100100
100101011	10101110100111001
100101100	10101111110010000
